,Name,Country,Team,Date
0,pronax,Sweden,fnatic,2015-10-05
1,olofmeister,Sweden,fnatic,2015-10-05
2,flusha,Sweden,fnatic,2015-10-05
3,JW,Sweden,fnatic,2015-10-05
4,KRIMZ,Sweden,fnatic,2015-10-05
5,karrigan,Denmark,TSM,2015-10-05
6,cajunb,Denmark,TSM,2015-10-05
7,Xyp9x,Denmark,TSM,2015-10-05
8,dupreeh,Denmark,TSM,2015-10-05
9,device,Denmark,TSM,2015-10-05
10,TaZ,Poland,Virtus.pro,2015-10-05
11,NEO,Poland,Virtus.pro,2015-10-05
12,pashaBiceps,Poland,Virtus.pro,2015-10-05
13,Snax,Poland,Virtus.pro,2015-10-05
14,byali,Poland,Virtus.pro,2015-10-05
15,kioShiMa,France,Envy,2015-10-05
16,kennyS,France,Envy,2015-10-05
17,NBK-,France,Envy,2015-10-05
18,apEX,France,Envy,2015-10-05
19,Happy,France,Envy,2015-10-05
20,Edward,Ukraine,Natus Vincere,2015-10-05
21,Zeus,Ukraine,Natus Vincere,2015-10-05
22,GuardiaN,Slovakia,Natus Vincere,2015-10-05
23,seized,Russia,Natus Vincere,2015-10-05
24,flamie,Russia,Natus Vincere,2015-10-05
25,f0rest,Sweden,Ninjas in Pyjamas,2015-10-05
26,GeT_RiGhT,Sweden,Ninjas in Pyjamas,2015-10-05
27,allu,Finland,Ninjas in Pyjamas,2015-10-05
28,Xizt,Sweden,Ninjas in Pyjamas,2015-10-05
29,friberg,Sweden,Ninjas in Pyjamas,2015-10-05
30,n0thing,United States,Cloud9,2015-10-05
31,seang@res,United States,Cloud9,2015-10-05
32,Skadoodle,United States,Cloud9,2015-10-05
33,freakazoid,United States,Cloud9,2015-10-05
34,shroud,Canada,Cloud9,2015-10-05
35,fox,Portugal,G2,2015-10-05
36,Maikelele,Sweden,G2,2015-10-05
37,dennis,Sweden,G2,2015-10-05
38,ScreaM,Belgium,G2,2015-10-05
39,rain,Norway,G2,2015-10-05
40,znajder,Sweden,Dignitas,2015-10-05
41,Pimp,Denmark,Dignitas,2015-10-05
42,MSL,Denmark,Dignitas,2015-10-05
43,aizy,Denmark,Dignitas,2015-10-05
44,Kjaerbye,Denmark,Dignitas,2015-10-05
45,FNS,Canada,CLG,2015-10-05
46,reltuC,United States,CLG,2015-10-05
47,jdm64,United States,CLG,2015-10-05
48,hazed,United States,CLG,2015-10-05
49,tarik,United States,CLG,2015-10-05
50,FalleN,Brazil,Luminosity,2015-10-05
51,steel,Brazil,Luminosity,2015-10-05
52,fer,Brazil,Luminosity,2015-10-05
53,boltz,Brazil,Luminosity,2015-10-05
54,coldzera,Brazil,Luminosity,2015-10-05
55,gob b,Germany,MOUZ,2015-10-05
56,chrisJ,Netherlands,MOUZ,2015-10-05
57,NiKo,Bosnia and Herzegovina,MOUZ,2015-10-05
58,nex,Germany,MOUZ,2015-10-05
59,denis,Germany,MOUZ,2015-10-05
60,markeloff,Ukraine,FlipSid3,2015-10-05
61,B1ad3,Ukraine,FlipSid3,2015-10-05
62,bondik,Ukraine,FlipSid3,2015-10-05
63,WorldEdit,Russia,FlipSid3,2015-10-05
64,DavCost,Russia,FlipSid3,2015-10-05
65,Hiko,United States,Liquid,2015-10-05
66,adreN,United States,Liquid,2015-10-05
67,nitr0,United States,Liquid,2015-10-05
68,FugLy,United States,Liquid,2015-10-05
69,EliGE,United States,Liquid,2015-10-05
70,shox,France,Titan,2015-10-05
71,Ex6TenZ,Belgium,Titan,2015-10-05
72,RpK,France,Titan,2015-10-05
73,SmithZz,France,Titan,2015-10-05
74,ScreaM,Belgium,Titan,2015-10-05
75,kUcheR,Russia,HellRaisers,2015-10-05
76,AdreN,Kazakhstan,HellRaisers,2015-10-05
77,ANGE1,Ukraine,HellRaisers,2015-10-05
78,mou,Kazakhstan,HellRaisers,2015-10-05
79,s1mple,Ukraine,HellRaisers,2015-10-05
80,bubble,Bulgaria,E-frag.net,2015-10-05
81,spyleadeR,Bulgaria,E-frag.net,2015-10-05
82,nkl,Bulgaria,E-frag.net,2015-10-05
83,v1c7oR,Bulgaria,E-frag.net,2015-10-05
84,dream3r,Bulgaria,E-frag.net,2015-10-05
85,yam,Australia,Renegades,2015-10-05
86,jks,Australia,Renegades,2015-10-05
87,AZR,Australia,Renegades,2015-10-05
88,Havoc,Australia,Renegades,2015-10-05
89,SPUNJ,Australia,Renegades,2015-10-05
90,rallen,Poland,Vexed,2015-10-05
91,Hyper,Poland,Vexed,2015-10-05
92,peet,Poland,Vexed,2015-10-05
93,Furlan,Poland,Vexed,2015-10-05
94,GruBy,Poland,Vexed,2015-10-05
95,Loord,Poland,CSGL,2015-10-05
96,SZPERO,Poland,CSGL,2015-10-05
97,innocent,Poland,CSGL,2015-10-05
98,MICHU,Poland,CSGL,2015-10-05
99,oskarish,Poland,CSGL,2015-10-05
100,SnypeR,Australia,Immunity,2015-10-05
101,emagine,Australia,Immunity,2015-10-05
102,Rickeh,Australia,Immunity,2015-10-05
103,James,Australia,Immunity,2015-10-05
104,USTILO,Australia,Immunity,2015-10-05
105,pronax,Sweden,fnatic,2015-10-12
106,olofmeister,Sweden,fnatic,2015-10-12
107,flusha,Sweden,fnatic,2015-10-12
108,JW,Sweden,fnatic,2015-10-12
109,KRIMZ,Sweden,fnatic,2015-10-12
110,karrigan,Denmark,TSM,2015-10-12
111,cajunb,Denmark,TSM,2015-10-12
112,Xyp9x,Denmark,TSM,2015-10-12
113,dupreeh,Denmark,TSM,2015-10-12
114,device,Denmark,TSM,2015-10-12
115,TaZ,Poland,Virtus.pro,2015-10-12
116,NEO,Poland,Virtus.pro,2015-10-12
117,pashaBiceps,Poland,Virtus.pro,2015-10-12
118,Snax,Poland,Virtus.pro,2015-10-12
119,byali,Poland,Virtus.pro,2015-10-12
120,kioShiMa,France,Envy,2015-10-12
121,kennyS,France,Envy,2015-10-12
122,NBK-,France,Envy,2015-10-12
123,apEX,France,Envy,2015-10-12
124,Happy,France,Envy,2015-10-12
125,Edward,Ukraine,Natus Vincere,2015-10-12
126,Zeus,Ukraine,Natus Vincere,2015-10-12
127,GuardiaN,Slovakia,Natus Vincere,2015-10-12
128,seized,Russia,Natus Vincere,2015-10-12
129,flamie,Russia,Natus Vincere,2015-10-12
130,f0rest,Sweden,Ninjas in Pyjamas,2015-10-12
131,GeT_RiGhT,Sweden,Ninjas in Pyjamas,2015-10-12
132,allu,Finland,Ninjas in Pyjamas,2015-10-12
133,Xizt,Sweden,Ninjas in Pyjamas,2015-10-12
134,friberg,Sweden,Ninjas in Pyjamas,2015-10-12
135,n0thing,United States,Cloud9,2015-10-12
136,seang@res,United States,Cloud9,2015-10-12
137,Skadoodle,United States,Cloud9,2015-10-12
138,freakazoid,United States,Cloud9,2015-10-12
139,shroud,Canada,Cloud9,2015-10-12
140,znajder,Sweden,Dignitas,2015-10-12
141,Pimp,Denmark,Dignitas,2015-10-12
142,MSL,Denmark,Dignitas,2015-10-12
143,aizy,Denmark,Dignitas,2015-10-12
144,Kjaerbye,Denmark,Dignitas,2015-10-12
145,fox,Portugal,G2,2015-10-12
146,Maikelele,Sweden,G2,2015-10-12
147,dennis,Sweden,G2,2015-10-12
148,rain,Norway,G2,2015-10-12
149,jkaem,Norway,G2,2015-10-12
150,FNS,Canada,CLG,2015-10-12
151,reltuC,United States,CLG,2015-10-12
152,jdm64,United States,CLG,2015-10-12
153,hazed,United States,CLG,2015-10-12
154,tarik,United States,CLG,2015-10-12
155,gob b,Germany,MOUZ,2015-10-12
156,chrisJ,Netherlands,MOUZ,2015-10-12
157,NiKo,Bosnia and Herzegovina,MOUZ,2015-10-12
158,nex,Germany,MOUZ,2015-10-12
159,denis,Germany,MOUZ,2015-10-12
160,FalleN,Brazil,Luminosity,2015-10-12
161,steel,Brazil,Luminosity,2015-10-12
162,fer,Brazil,Luminosity,2015-10-12
163,boltz,Brazil,Luminosity,2015-10-12
164,coldzera,Brazil,Luminosity,2015-10-12
165,Hiko,United States,Liquid,2015-10-12
166,adreN,United States,Liquid,2015-10-12
167,nitr0,United States,Liquid,2015-10-12
168,FugLy,United States,Liquid,2015-10-12
169,EliGE,United States,Liquid,2015-10-12
170,shox,France,Titan,2015-10-12
171,Ex6TenZ,Belgium,Titan,2015-10-12
172,RpK,France,Titan,2015-10-12
173,SmithZz,France,Titan,2015-10-12
174,ScreaM,Belgium,Titan,2015-10-12
175,markeloff,Ukraine,FlipSid3,2015-10-12
176,B1ad3,Ukraine,FlipSid3,2015-10-12
177,bondik,Ukraine,FlipSid3,2015-10-12
178,WorldEdit,Russia,FlipSid3,2015-10-12
179,DavCost,Russia,FlipSid3,2015-10-12
180,bubble,Bulgaria,E-frag.net,2015-10-12
181,spyleadeR,Bulgaria,E-frag.net,2015-10-12
182,nkl,Bulgaria,E-frag.net,2015-10-12
183,v1c7oR,Bulgaria,E-frag.net,2015-10-12
184,dream3r,Bulgaria,E-frag.net,2015-10-12
185,yam,Australia,Renegades,2015-10-12
186,jks,Australia,Renegades,2015-10-12
187,AZR,Australia,Renegades,2015-10-12
188,Havoc,Australia,Renegades,2015-10-12
189,SPUNJ,Australia,Renegades,2015-10-12
